"industry","term","definition","formula","required_columns","source","note"
"Marketing","Cost per Lead","Average campaign spend required to generate one eligible lead.","campaign_spend / eligible_leads","campaign_spend; lead_id; lead_status","DataSense starter template","Remove duplicate and invalid leads before calculation."
"Marketing","Customer Acquisition Cost","Average attributable sales and marketing cost per new customer.","attributable_acquisition_cost / new_customers","acquisition_cost; customer_id; acquisition_date","DataSense starter template","Agree on attribution scope before comparing channels."
"Marketing","Return on Ad Spend","Revenue attributed to advertising for each unit of ad spend.","attributed_revenue / ad_spend","attributed_revenue; ad_spend","DataSense starter template","ROAS is not the same as profit or ROI."
"Sales & CRM","Lead Conversion Rate","Share of eligible leads that become customers or won opportunities.","converted_leads / eligible_leads * 100","lead_id; lead_status","DataSense starter template","Confirm the exact conversion event."
"Sales & CRM","Opportunity Win Rate","Share of closed opportunities that were won.","won_opportunities / closed_opportunities * 100","opportunity_id; opportunity_status","DataSense starter template","Exclude open opportunities from the denominator."
"Sales & CRM","Average Sales Cycle","Average elapsed time from opportunity creation to closure.","AVG(close_date - created_date)","opportunity_id; created_date; close_date","DataSense starter template","Calculate on closed opportunities and report the median too."
"Sales & CRM","Average Deal Size","Average booked value of won opportunities.","SUM(won_deal_value) / COUNT(DISTINCT won_opportunity_id)","opportunity_id; opportunity_status; deal_value","DataSense starter template","Use one consistent currency and booking definition."
"Sales & CRM","Pipeline Coverage","Open qualified pipeline value relative to the sales target.","qualified_open_pipeline_value / sales_target","opportunity_status; stage; deal_value; sales_target","DataSense starter template","Pipeline period and target period must match."
"Finance & Banking","Net Interest Margin","Net interest income earned relative to average interest-earning assets.","net_interest_income / average_interest_earning_assets * 100","interest_income; interest_expense; earning_assets","DataSense starter template","Use the institution's approved annualisation convention."
"Finance & Banking","Non-performing Asset Ratio","Share of the loan portfolio classified as non-performing.","non_performing_loan_balance / total_loan_balance * 100","loan_balance; performance_status","DataSense starter template","Apply the regulatory delinquency definition."
"Finance & Banking","Cost-to-Income Ratio","Operating expenses relative to operating income.","operating_expenses / operating_income * 100","operating_expenses; operating_income","DataSense starter template","Lower values generally indicate better operating efficiency."
"Finance & Banking","Return on Assets","Net income generated relative to average total assets.","net_income / average_total_assets * 100","net_income; total_assets","DataSense starter template","Use average assets across the period."
"Finance & Banking","Loan-to-Deposit Ratio","Gross loans outstanding relative to customer deposits.","gross_loans / customer_deposits * 100","loan_balance; deposit_balance","DataSense starter template","Interpret alongside liquidity requirements."
"Healthcare","Average Patient Wait Time","Average elapsed time between patient arrival and service start.","AVG(service_start_time - arrival_time)","patient_visit_id; arrival_time; service_start_time","DataSense starter template","Report percentiles because averages can hide long waits."
"Healthcare","Bed Occupancy Rate","Share of available bed-days that were occupied.","occupied_bed_days / available_bed_days * 100","occupied_beds; available_beds; date","DataSense starter template","Confirm treatment of closed or unavailable beds."
"Healthcare","Readmission Rate","Share of eligible discharges followed by an unplanned readmission within the defined window.","qualifying_readmissions / eligible_discharges * 100","patient_id; discharge_date; admission_date; readmission_flag","DataSense starter template","Apply clinical exclusions and the approved time window."
"Healthcare","Average Length of Stay","Average inpatient days per completed admission.","SUM(discharge_date - admission_date) / COUNT(DISTINCT completed_admission_id)","admission_id; admission_date; discharge_date; status","DataSense starter template","Use completed inpatient stays only."
"Healthcare","Claim Denial Rate","Share of submitted claims denied by the payer.","denied_claims / submitted_claims * 100","claim_id; claim_status","DataSense starter template","Track initial and final denials separately."
"Manufacturing","Overall Equipment Effectiveness","Combined availability performance and quality effectiveness of equipment.","availability * performance * quality","planned_time; run_time; ideal_cycle_time; total_count; good_count","DataSense starter template","Express each component as a decimal before multiplication."
"Manufacturing","Defect Rate","Share of produced units that fail the defined quality standard.","defective_units / total_units_produced * 100","unit_count; defect_flag","DataSense starter template","Define whether rework units count as defects."
"Manufacturing","First-pass Yield","Share of units meeting quality standards without rework.","good_units_without_rework / total_units_entering_process * 100","unit_id; quality_status; rework_flag","DataSense starter template","Measure at a clearly defined process stage."
"Manufacturing","Unplanned Downtime Rate","Share of scheduled production time lost to unplanned downtime.","unplanned_downtime / scheduled_production_time * 100","downtime_minutes; downtime_type; scheduled_minutes","DataSense starter template","Separate planned maintenance from unplanned events."
"Manufacturing","Inventory Turnover","Cost of goods sold relative to average inventory value.","cost_of_goods_sold / average_inventory_value","cost_of_goods_sold; inventory_value","DataSense starter template","Use average opening and closing inventory at minimum."
"Logistics & Fleet","On-time Delivery Rate","Share of eligible deliveries completed on or before the promised time.","on_time_deliveries / eligible_deliveries * 100","delivery_id; promised_time; delivered_time","DataSense starter template","Define grace periods and customer-caused delays."
"Logistics & Fleet","Vehicle Utilisation Rate","Share of available vehicle time spent in productive use.","productive_vehicle_time / available_vehicle_time * 100","vehicle_id; productive_time; available_time","DataSense starter template","Productive use must be consistently defined."
"Logistics & Fleet","Cost per Kilometre","Total fleet operating cost incurred per kilometre travelled.","total_operating_cost / total_kilometres","fuel_cost; maintenance_cost; other_operating_cost; distance_km","DataSense starter template","State which fixed and variable costs are included."
"Logistics & Fleet","Empty Distance Rate","Share of travelled distance completed without a productive load.","empty_kilometres / total_kilometres * 100","distance_km; load_status","DataSense starter template","Use consistent trip and repositioning rules."
"Logistics & Fleet","Driver Attrition Rate","Share of eligible drivers who leave during the measurement period.","drivers_who_left / average_active_drivers * 100","driver_id; active_status; exit_date","DataSense starter template","Separate voluntary and involuntary exits where possible."
"SaaS & Product Analytics","Monthly Recurring Revenue","Normalised recurring subscription revenue active in a month.","SUM(monthly_recurring_subscription_value)","subscription_id; recurring_value; active_date; cancellation_date","DataSense starter template","Exclude one-time fees and usage revenue unless policy includes them."
"SaaS & Product Analytics","Customer Churn Rate","Share of starting customers lost during the measurement period.","customers_lost / customers_active_at_start * 100","customer_id; active_date; cancellation_date","DataSense starter template","New customers acquired during the period are not in the denominator."
"SaaS & Product Analytics","DAU to MAU Ratio","Share of monthly active users who are active on an average day.","average_daily_active_users / monthly_active_users * 100","user_id; activity_date","DataSense starter template","Use the same qualifying activity definition for DAU and MAU."
"SaaS & Product Analytics","Average Revenue per Account","Average recurring revenue generated per active paying account.","recurring_revenue / active_paying_accounts","account_id; recurring_revenue; active_status","DataSense starter template","Use account rather than user count for B2B products."
"SaaS & Product Analytics","LTV to CAC Ratio","Estimated customer lifetime value relative to acquisition cost.","customer_lifetime_value / customer_acquisition_cost","gross_margin; churn_rate; average_revenue; acquisition_cost","DataSense starter template","Document the exact LTV model and cohort assumptions."
